,country_code,region_name,iata,icao,airport,latitude,longitude,FIPS
7745,US,Montana,WYS,KWYS,Yellowstone Airport,44.6884,-111.118,30031
7746,US,North Carolina,OCW,KOCW,Washington-Warren Airport (Warren Field),35.5705,-77.0498,37013
7747,US,California,ODC,,Oakdale Airport,37.7563,-120.8,06099
7748,US,Missouri,DMO,KDMO,Sedalia Regional Airport,38.7074,-93.1759,29159
7749,US,New Mexico,DMN,KDMN,Deming Municipal Airport,32.2623,-107.721,35029
7750,US,Alaska,KUK,PFKA,Kasigluk Airport,60.8744,-162.524,02050
7751,US,West Virginia,ODM,,Garrett County Airport,39.2808,-79.3374,54023
7752,US,Washington,ODW,KOKH,A.J. Eisenberg Airport,48.2515,-122.674,53029
7753,US,Wisconsin,OEO,KOEO,L.O. Simenstad Municipal Airport,45.31,-92.6919,55095
7754,US,Arizona,DMA,KDMA,Davis-Monthan Air Force Base,32.1665,-110.883,04019
7755,US,Nebraska,OFF,KOFF,Offutt Air Force Base,41.1183,-95.9125,31153
7756,US,Oregon,DLS,KDLS,Columbia Gorge Regional Airport (The Dalles Municipal Airport),45.6185,-121.167,41065
7757,US,Montana,DLN,KDLN,Dillon Airport,45.2554,-112.553,30001
7758,US,Nebraska,OFK,KOFK,Norfolk Regional Airport (Karl Stefan Memorial Field),41.9855,-97.4351,31119
7759,US,Nebraska,OGA,KOGA,Searle Field,41.1195,-101.77,31101
7760,US,South Carolina,DLL,KDLC,Dillon County Airport,34.4491,-79.3686,45033
7761,US,Minnesota,DLH,KDLH,Duluth International Airport,46.8421,-92.1936,27137
7762,US,Alaska,DLG,PADL,Dillingham Airport,59.0447,-158.505,02070
7763,US,Texas,DLF,KDLF,Laughlin Air Force Base,29.3595,-100.778,48465
7764,US,Wisconsin,XES,,Grand Geneva Resort Airport,42.6149,-88.3896,55127
7765,US,South Carolina,OGB,KOGB,Orangeburg Municipal Airport,33.4568,-80.8595,45075
7766,US,Utah,OGD,KOGD,Ogden-Hinckley Airport,41.1959,-112.012,49057
7767,US,New York,DKK,KDKK,Chautauqua County/Dunkirk Airport,42.4933,-79.272,36013
7768,US,Hawaii,OGG,PHOG,Kahului Airport,20.8986,-156.43,15009
7769,US,Alaska,DJN,,Delta Junction Airport,64.0504,-145.717,02240
7770,US,New York,OGS,KOGS,Ogdensburg International Airport,44.6819,-75.4655,36089
7771,US,Alaska,KTS,PFKT,Brevig Mission Airport,65.3313,-166.466,02180
7772,US,Alaska,KTN,PAKT,Ketchikan International Airport,55.3556,-131.714,
7773,US,New York,OIC,KOIC,Lt. Warren Eaton Airport,42.5666,-75.5241,36017
7774,US,Alaska,KTH,,Tikchik Lodge Seaplane Base,59.9632,-158.477,02070
7775,US,North Dakota,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport,46.7974,-102.802,38089
7776,US,Texas,DHT,KDHT,Dalhart Municipal Airport,36.0226,-102.547,48205
7777,US,Kansas,OJC,KOJC,Johnson County Executive Airport,38.8476,-94.7376,20091
7778,US,Alaska,KTB,,Thorne Bay Seaplane Base,55.688,-132.537,02198
7779,US,Oklahoma,OKC,KOKC,Will Rogers World Airport,35.3931,-97.6007,40109
7780,US,Oklahoma,OKM,KOKM,Okmulgee Regional Airport,35.6681,-95.9487,40111
7781,US,Alabama,DHN,KDHN,Dothan Regional Airport,31.3213,-85.4496,01045
7782,US,Alaska,KSM,PASM,St. Mary's Airport,62.0605,-163.302,02270
7783,US,Nebraska,OKS,KOKS,Garden County Airport,41.401,-102.355,31069
7784,US,Washington,DHB,,Deer Harbor Sea Plane Base,48.6167,-123.003,53055
7785,US,Maine,OLD,KOLD,Old Town Municipal Airport and Seaplane Base (Dewitt Field),44.9528,-68.6743,23019
7786,US,New York,OLE,KOLE,Cattaraugus County-Olean Airport,42.2422,-78.3716,36009
7787,US,Wyoming,DGW,KDGW,Converse County Airport,42.7972,-105.386,56009
7788,US,South Dakota,XMD,KMDS,Madison Municipal Airport,44.016,-97.0859,46079
7789,US,Montana,OLF,KOLF,L. M. Clayton Airport,48.0945,-105.575,30085
7790,US,Alaska,OLH,,Old Harbor Airport,57.2181,-153.27,02150
7791,US,Washington,OLM,KOLM,Olympia Regional Airport,46.9694,-122.903,53067
7792,US,Arizona,OLS,KOLS,Nogales International Airport,31.4177,-110.848,04023
7793,US,Nebraska,OLU,KOLU,Columbus Municipal Airport,41.448,-97.3426,31141
7794,US,Mississippi,OLV,KOLV,Olive Branch Airport,34.9787,-89.7869,28033
7795,US,Illinois,OLY,KOLY,Olney-Noble Airport,38.7207,-88.1749,17159
7796,US,Virginia,DGN,KNDY,Naval Surface Warfare Center Dahlgren Division,38.3325,-77.0372,51099
